Sample_Number,Sample_Name,melanin_hull,melanin_pericarp,ant_pericarp,ant_aleurone,Nud,BLP,Myc2,Ant2,Color_Raw,Red_mean,Green_mean,Blue_mean,Red_std,Green_std,Blue_std
Wh_19,Tanai,no,no,no,no,no,0,0,0,"[[172, 124, 73], [171, 124, 73], [173, 127, 75], [170, 123, 72], [174, 128, 76], [171, 124, 73], [170, 122, 73], [172, 125, 76], [170, 123, 72]]",171.44444444444446,124.55555555555556,73.77777777777777,1.3425606637327303,1.892154040658489,1.4740554623801778
Wh_20,Golden Promise,no,no,no,no,no,0,0,0,"[[171, 125, 77], [169, 121, 74], [172, 125, 76], [170, 123, 75], [170, 123, 76], [170, 122, 73], [168, 121, 76], [169, 122, 76], [169, 122, 76]]",169.77777777777777,122.66666666666667,75.44444444444444,1.1331154474650633,1.4142135623730951,1.1653431646335017
Wh_21,AL,no,no,no,no,no,0,0,0,"[[173, 127, 70], [171, 126, 69], [170, 124, 69], [173, 126, 71], [171, 125, 70], [170, 125, 71], [171, 124, 70], [173, 126, 70], [174, 129, 74]]",171.77777777777777,125.77777777777777,70.44444444444444,1.3966450099973928,1.4740554623801778,1.4229164972072998
Wh_22,Keystone,no,no,no,no,no,0,0,0,"[[172, 125, 74], [177, 132, 82], [172, 125, 75], [172, 125, 78], [171, 124, 78], [171, 125, 78], [172, 125, 74], [172, 125, 75], [174, 127, 76]]",172.55555555555554,125.88888888888889,76.66666666666667,1.7708197167232476,2.282515398241571,2.449489742783178
Wh_23,Biom,no,no,no,no,no,0,0,0,"[[181, 132, 73], [177, 126, 69], [171, 120, 63], [172, 120, 65], [178, 126, 67], [178, 128, 73], [177, 126, 70], [175, 125, 70], [178, 128, 71]]",176.33333333333334,125.66666666666667,69.0,2.9814239699997196,3.5901098714230026,3.2317865716108862
Wh_24,Lun',no,no,no,no,no,0,0,0,"[[171, 122, 68], [173, 126, 71], [173, 126, 70], [171, 124, 71], [170, 122, 68], [171, 124, 70], [181, 135, 78], [173, 125, 69], [174, 127, 70]]",173.0,125.66666666666667,70.55555555555556,3.0912061651652345,3.6817870057290873,2.8327886186626583
Wh_25,Omskii_Golozernyi_2,no,no,no,no,yes,0,0,0,"[[185, 126, 58], [183, 124, 55], [183, 125, 57], [182, 123, 55], [191, 127, 50], [185, 126, 57], [184, 125, 57], [184, 125, 57], [184, 125, 57]]",184.55555555555554,125.11111111111111,55.888888888888886,2.454524670486058,1.0999438818457405,2.282515398241571
Wh_26,Signal,no,no,no,no,no,0,0,0,"[[175, 124, 69], [177, 126, 71], [179, 128, 73], [183, 133, 76], [174, 122, 68], [175, 123, 67], [175, 124, 68], [172, 120, 66], [180, 130, 74]]",176.66666666666666,125.44444444444444,70.22222222222223,3.2317865716108862,3.9471821485181358,3.2584173996922625
Wh_27,Novosibirskii_80,no,no,no,no,no,0,0,0,"[[169, 120, 65], [173, 124, 70], [172, 122, 71], [169, 120, 67], [168, 119, 69], [169, 120, 67], [172, 124, 71], [176, 128, 74], [170, 122, 70]]",170.88888888888889,122.11111111111111,69.33333333333333,2.4241582476968255,2.6851213274654606,2.5385910352879693
Wh_28,Kolchan,no,no,no,no,no,0,0,0,"[[171, 121, 61], [173, 123, 62], [177, 128, 65], [172, 122, 61], [173, 123, 62], [176, 126, 63], [174, 124, 61], [175, 124, 61], [176, 126, 64]]",174.11111111111111,124.11111111111111,62.22222222222222,1.9116278371205837,2.078698548207745,1.3966450099973926
Wh_29,Archekas,no,no,no,no,yes,0,0,0,"[[195, 134, 57], [187, 127, 53], [186, 131, 59], [194, 136, 63], [184, 130, 61], [183, 128, 59], [190, 134, 57], [197, 134, 53], [188, 130, 57]]",189.33333333333334,131.55555555555554,57.666666666666664,4.714045207910316,2.9101779674908435,3.1269438398822866
Wh_30,Sobolek,no,no,no,no,no,0,0,0,"[[176, 126, 62], [185, 137, 71], [177, 128, 64], [173, 124, 63], [171, 121, 62], [172, 122, 63], [171, 121, 60], [177, 128, 65], [177, 127, 65]]",175.44444444444446,126.0,63.888888888888886,4.1662962798339285,4.714045207910317,2.9228769862146455
Wh_31,L-421,no,no,no,no,no,0,0,0,"[[173, 123, 65], [172, 123, 67], [174, 125, 68], [172, 122, 64], [173, 123, 65], [175, 126, 68], [172, 124, 68], [171, 123, 67], [175, 126, 68]]",173.11111111111111,123.88888888888889,66.66666666666667,1.286204100310025,1.3698697784375504,1.4907119849998598
Wh_32,Morex,no,no,no,no,no,0,0,0,"[[173, 124, 69], [177, 128, 69], [173, 123, 65], [172, 122, 65], [181, 133, 74], [173, 123, 66], [172, 122, 63], [171, 121, 64], [176, 126, 68]]",174.22222222222223,124.66666666666667,67.0,3.010270485365348,3.590109871423003,3.197221015541813
Wh_33,Belogorskii,no,no,no,no,no,0,0,0,"[[173, 127, 74], [172, 125, 73], [171, 125, 73], [170, 124, 74], [172, 126, 77], [173, 128, 79], [172, 126, 79], [170, 124, 77], [170, 125, 78]]",171.44444444444446,125.55555555555556,76.0,1.1653431646335017,1.2570787221094177,2.3570226039551585
Wh_34,Dagestanskii,no,no,no,no,no,0,0,0,"[[192, 135, 65], [178, 122, 59], [190, 131, 59], [196, 134, 58], [180, 124, 60], [192, 130, 54], [182, 126, 61], [178, 122, 58], [181, 125, 61]]",185.44444444444446,127.66666666666667,59.44444444444444,6.584681062235135,4.69041575982343,2.793290019994785
Wh_35,Krasnoyarskii_1,no,no,no,no,no,0,0,0,"[[173, 123, 69], [170, 120, 66], [180, 132, 75], [176, 127, 71], [178, 129, 72], [173, 123, 68], [177, 129, 75], [178, 130, 75], [176, 128, 72]]",175.66666666666666,126.77777777777777,71.44444444444444,2.943920288775949,3.705184889007348,3.095197394929804
Wh_36,Talan,no,no,no,no,no,0,0,0,"[[182, 136, 78], [182, 135, 77], [174, 127, 71], [180, 134, 76], [181, 134, 77], [180, 133, 76], [185, 139, 79], [172, 123, 70], [175, 127, 70]]",179.0,132.0,74.88888888888889,4.08248290463863,4.876246279442598,3.3481153718487473
Wh_37,Aley,no,no,no,no,no,0,0,0,"[[177, 128, 68], [180, 132, 71], [175, 124, 63], [178, 129, 69], [174, 123, 64], [175, 126, 67], [185, 137, 76], [174, 124, 66], [177, 126, 68]]",177.22222222222223,127.66666666666667,68.0,3.3259176771323924,4.242640687119286,3.6514837167011076
Wh_38,Impuls,no,no,no,no,no,0,0,0,"[[176, 125, 67], [173, 121, 63], [173, 121, 64], [172, 120, 64], [172, 121, 64], [171, 119, 64], [172, 120, 65], [171, 119, 65], [174, 123, 66]]",172.66666666666666,121.0,64.66666666666667,1.49071198499986,1.8257418583505538,1.1547005383792515
